,userid,shopid,itemid,rating,rating_star,comments,Topic
127,5809786,4159855,43808399,0,0,preorder how many days to selangor?,SMI
130,23401967,4159855,225779878,1,5,Until now..i did not receive this item!,NI
133,6558298,4159855,36014545,1,5,Good service...fast delivery ,NI
134,8571676,4159855,286020959,0,3,Product quality is ok,NI
138,2209006,4159855,33770431,1,5,Love this MP3 very much - it has a clear display screen that shows the songs & many functions ,NI
146,9759670,4159855,232320257,1,5,This is a real joke. I havent received the things i paid for and it says my purchase is completed. Come on. Im definitely gonna rate 5 stars for this joke. Great job there seller! What a great job to say my purchase completed when i havent received anything. Good!,LLDT
148,7013245,4159855,30045769,0,0,How do we connect it to light it up,SMI
150,5586847,4159855,34430095,0,0,Ni if buy brg xde.x up. Money refund x?,SMI
157,4294962,4159855,30261380,1,5,Sgt murah dn ok .. berbaloi utk beli ... brg diterima lbh cpt dri dijangka ..,NI
158,7667177,4159855,36263633,0,0,"woww, saye nak",NI
162,11413441,4159855,29733765,0,3,Delivery time as expected,NI
163,7368178,4159855,41646189,0,0,this is not for ejuice.it's only for wax or dry herbs,SMI
172,5660507,4159855,50234515,0,0,there is stock kh?,SMI
177,9549959,4159855,49689400,1,4,Worth buying it .. Recomended,NI
180,4256243,4159855,36263666,1,5,Good,NI
181,6965510,4159855,55891571,0,0,which variation is the one with cat?,SMI
184,8804117,4159855,38056931,0,0,From lg x .. ??,SMI
189,15985939,4159855,50237362,0,0,post to sabah brpa ya?,SMI
191,6369646,4159855,30974427,0,0,How to do make payment,SMI
193,3701581,4159855,33437119,1,5,Very good,NI
194,350950,4159855,42143341,1,5,Great product!,NI
204,6151660,4159855,33770485,0,0,Ada memory kad skli x... 32 g kn,SMI
211,6068228,4159855,49189015,1,5,Same like the photo ,NI
213,5174600,4159855,55896356,-1,1,"The clip is low quality, not fit device & no manner how I adjust still block by the black circle. Only a few snap clip spin opened.  I got to fixed cloth peg. Very poor product quality",PQ
219,10813307,4159855,30044051,0,0,@mazazah 69 OK new masks?,SMI
223,9933814,4159855,34049870,1,5,"tq...trasted seller...
maybe take few day to received parcel..
bcoz shipping from oversea...
sure recommended..
nice music n song...
so many to choose ding dong bell music...",NI
228,11552671,4159855,30969148,1,4,Thanks fast deliver i will shop from u next time tq,NI
234,6367590,4159855,44881223,0,0,"@tbn11 hii. Sorry just want to know, how long time it will take to received the item?",SMI
238,2313594,4159855,30995999,0,0,Still available?,SMI
243,3939896,4159855,47514680,1,4,Not bad,NI
245,8670009,4159855,33770546,0,0,Blh masry memry x card?,SMI
248,4791179,4159855,233233418,-1,1,Camera cannot use,PQ
249,5075874,4159855,127314826,0,0,Hi..this one can use for note4?,SMI
251,10553876,4159855,36014552,0,0,Can i order this,SMI
255,11787320,4159855,63007900,1,4,Thank you!,NI
258,10729744,4159855,29733727,0,0,@syafiqahhussin a week of goods until,SMI
259,5290088,4159855,30064571,0,0,give the item not complete very bad seller,SMI
262,18558405,4159855,123555130,1,5,5day only delivery so fast ,NI
263,7233171,4159855,33770539,0,0,Boley connect dgn laptop so?,SMI
268,13160076,4159855,33475339,0,0,26/4/2017 still no longer received this wallet,LLDT
269,2819333,4159855,34463963,0,0,Nk tnya shaper ni dia berlipat x,NI
278,4350067,4159855,44882429,0,0,still,NI
279,9196689,4159855,34049859,0,0,Ade is nothing,NI
281,4161139,4159855,30974427,0,0,"@yuszrina it is ready stock,1,click ""buy now"" and click""variation"" to select the size and color.
2,fill in your shipping address
3,complete the payment.
once the payment was confirmed,we will ship out",NI
287,6236906,4159855,32062135,0,0,"Hi, still available?",SMI
288,7396931,4159855,34049834,0,0,Congratulations in cheap ni ...,SMI
293,9104497,4159855,37519519,0,0,Ad lgi x stock sy nk bli one,NI
302,266599,4159855,34049834,1,5,nice..,NI
303,11776896,4159855,38334282,1,5,Excellent service by seller,NI
304,6855650,4159855,30261380,1,5,Received it. Yeay. ,NI
305,13933938,4159855,46059002,0,0,This product available?,SMI
306,6230652,4159855,49188522,1,4,It's a nice bag. But it smaller than image.,NI
307,5357352,4159855,46161964,0,3,got the parcel in good condition. but the item is too different from the picture,PIM
308,9012121,4159855,52218854,1,4,Excellent service by seller,NI
309,12215171,4159855,46537864,0,3,"I asked for cupcake(red)..i received ice-cream(black)..very dissapointed..
#fast delivery",PIM
314,1069823,4159855,34049834,-1,1,If can don't buy this. Really waste my money. Contact seller asking about the problem but waiting around 2 days also no reply. No nxt time.,SSC
315,9218904,4159855,34049834,0,0,With memory card or no,SMI
316,10400425,4159855,49196341,1,5,Trust seller,NI
323,13602433,4159855,30268547,1,5,Ok.,NI
325,5706433,4159855,33475360,0,0,Is there more,SMI
326,8963210,4159855,30065859,0,0,Hi how do i buy this?n whats the postage cost?,SMI
327,9601921,4159855,90400515,0,0,What size u have for license plate?,SMI
333,5489517,4159855,30969138,0,0,Still looks& work like brand new,SMI
337,19001032,4159855,228663281,1,5,"Fits well..love it..soft material(rayon).
(Size XL -my height 166cm)",NI
345,8419867,4159855,77571268,0,3,Product quality is ok.. But i got the wrong colour and i don't like the colour because it is not nice..  Please i want return it and get the colour that i want. ,PIM
346,10724925,4159855,74677041,0,0,Of original,NI
352,23043926,4159855,30263708,0,3,Product quality is ok,PQ
363,4141575,4159855,30045567,1,5,Love it!,NI
365,8086560,4159855,33475352,0,0,Good,NI
381,6810851,4159855,33475384,0,0,Free postage?,SMI
384,4161139,4159855,30014934,0,0,"@ruslanmusi80 sorry,could you please speak English or Chinese?any question,pls contract us by chatting",NI
391,8048276,4159855,46057057,1,5,Satisfied with this wallet's quality. The best,NI
392,5297771,4159855,30025748,-1,1,this my second time i buy from u but this time the quality of the product not like before.. ,PQ
401,2575773,4159855,32062133,0,0,Shower head tu with his trunk to the boss ??,SMI
406,7420254,4159855,44881223,0,0,@lbhock123 The headphone can cover over the ear area and the bass sound was good.,NI
411,6496090,4159855,30982888,1,5,my wife like this item 5star,NI
416,3220879,4159855,46059763,0,0,@ aqmakarim87 kain mati thin gler arh,NI
426,6418033,4159855,60806482,0,0,ok,NI
427,31166056,4159855,30026378,1,4,Good service by seller,NI
430,23353195,4159855,43449796,0,0,Mc mne nak tahu cod promo,NI
431,34390886,4159855,232690489,0,0,Included rear camera or no,SMI
435,7316909,4159855,30043225,0,0,@ditamoxcit slow to stuff up?,NI
440,22384827,4159855,232320257,0,0,I want that can blow in the dark,SMI
442,7619563,4159855,33437113,0,0,There is no selling spare part batery for drone jxd 509 w pioneer,SMI
445,6348407,4159855,46156108,1,5,fast shipping and wallet is nice simple with a lot of pocket....,NI
447,8384683,4159855,36657617,0,0,"Hi,is it ready stock?",SMI
449,25937877,4159855,49184962,0,2,"Poor product quality.tear cotton
Fail",PQ
455,5949563,4159855,34430095,0,0,Hi how long the thing will be arrive,SMI
462,2545484,4159855,33475447,0,0,bro .. mcm mn nk or ek ..?,SMI
465,16722323,4159855,32149796,0,0,poor service! the seller request for adding price,SSC
466,2967368,4159855,29733765,1,4,"One of the best services ever! Very prompt reply and never avoiding any questions. However, i wouldn't reccomend this product. Cheers!",NI
468,15092475,4159855,30969138,-1,1,seller mentally crazy.Selling item without stock. Very poor service by seller,SSC
475,8027405,4159855,44233231,0,0,how many days postage to puchong ??? waterproofing ???,SMI
476,10061123,4159855,31291538,0,3,Just have it dont know how good it is.,NI
481,2430263,4159855,30974428,1,5,Good in condition and working well..thanks,NI
491,5452170,4159855,57270072,0,0,for ip5 ad no?,SMI
500,5290088,4159855,34049834,0,0,give the things not complete,SMI
507,10422127,4159855,47519251,0,3,"The quality corresponds to the price. Short, broad and thin.",NI
510,16044128,4159855,30064309,0,0,Enter postage to sabah rm brpa?,SMI
512,7614986,4159855,33770425,0,0,Can this always plug in?,SMI
515,6721246,4159855,31291516,0,0,@tajiee so?,NI
518,2741466,4159855,33132031,0,0,Minimum capacity is 10g?,SMI
526,1339029,4159855,33131999,1,5,Thanks.. Good packaging,NI
542,7138180,4159855,30043908,0,0,Please PM phone number for wholesale transmitter purchase,SMI
543,8681456,4159855,44902488,0,0,How many days did it get to us?,SMI
545,976047,4159855,30982870,0,0,Area mana boss,NI
550,4294962,4159855,30261380,0,0,I thought the delivery is free.. why there is RM4.10 added when i want to pay?,SMI
555,4999729,4159855,34463963,0,0,"I want  4 m size  black, u have?",SMI
558,13880770,4159855,41772254,0,3,"Skru missing, tools missing",PIM
567,5051491,4159855,46162100,0,0,what size,SMI
569,15921616,4159855,46536509,0,3,Poor service by seller Poor product quality,"SSC,PQ"
570,7487527,4159855,33475345,0,0,Of yag ni adalaj?,SMI
571,8516709,4159855,29731514,0,2,"Not what I expected tbh, the assembly part was a heck a lot of work. And quite surprised that we had to assemble ourself the projection film(the globe), they should assemble it for us so that it wont look ugly... ",PIM
575,12292372,4159855,30042985,0,0,@esahdunnhill can x splitter by utk share byk disc or utk share byk decoder ??,NI
576,6577930,4159855,33475510,0,0,Can use sd card ?,SMI
577,15590574,4159855,38333372,-1,1,the cheat money he took for the smpai now,SSC
590,10016154,4159855,46161964,-1,1,Very poor product quality Very poor product quality Very poor product quality,PQ
594,5290088,4159855,37519688,0,0,this item not complete,SMI
602,5560239,4159855,38333423,1,5,received with good ,NI
606,6080996,4159855,30065424,0,0,this product for any car?,SMI
622,8598846,4159855,30269543,0,0,Stock available?,SMI
626,34009354,4159855,323327002,0,2,Delivery time below expectation,LLDT
630,17926382,4159855,46156106,0,0,Maroon color still available?,SMI
635,11285663,4159855,44881223,0,0,"@fifaaa_  hi there!
Can I know how is the sound quality?
Also, cover whole ear & comfortable?",NI
640,5290088,4159855,30995952,0,0,note,NI
644,1337109,4159855,44882635,0,0,@mymaxisnumber is it true wireless ??,SMI
651,27744232,4159855,32149776,0,2,Poor product quality Delivery time below expectation,"LLDT,PQ"
661,5213438,4159855,34049834,-1,1,"NOT RECOMMENDED. Although cheap is not worth buying. The specifications in the ad are not on the item eg hd image, auto zoom, night camera etc. The charge battery is never full. Blur screen. Not functioning well always hang.","PQ,PIM"
668,1339029,4159855,90402677,1,5,Excellent service by sellerK.. recommended,NI
673,6899248,4159855,31291503,0,0,"Hai, still have for readystock??? I want it dear",SMI
674,4143559,4159855,30982870,0,0,Could this be use on ukulele also? :),SMI
676,5614688,4159855,34463967,0,0,"See nothing. Buy 2 ,1not function",PQ
683,319744,4159855,34049834,1,5,Product in good condition....,NI
689,7489251,4159855,33770452,1,5,The speaker not working..only one is good,NI
705,15971319,4159855,30982888,0,2,Poor product quality,PQ
707,11124829,4159855,74677041,1,5,Satisfied! Good service! Thank you!,NI
711,16537535,4159855,46056676,1,5,fast delivery but product not so comfortable for fatty user,NI
713,8094832,4159855,33770431,0,0,X,NI
716,11835069,4159855,63007883,0,0,How many times can it use?,SMI
726,8316453,4159855,36657659,0,0,I want to buy jewellery scale weigting,SMI
728,2209006,4159855,33770431,1,5,Love this MP3 very much - it has a clear display screen that shows the songs & many functions,NI
729,11844783,4159855,46063841,0,0,What is the distance from one walkie talkie to a yellow walkie talkie?,SMI
730,4750269,4159855,30064027,0,0,??day to ship is 3 days or 12days,SMI
731,8873860,4159855,43450686,0,0,You have how many km,SMI
732,16377607,4159855,258266393,1,5,Extra shipping for east malaysia...,NI
734,12054146,4159855,55896356,1,5,Delivery is ok just that the mobile lens not suitable for iPhone 6+. ,NI
745,5461903,4159855,35312606,0,0,can we stack camera/ gopro on it?,SMI
746,5000689,4159855,30065594,0,0,Is Black colour still available? Thanks!,SMI
749,4992803,4159855,30982870,0,0,Can choose a color ..?,SMI
766,11458934,4159855,30266506,1,5,Well done bro.pump work perfectly recommend seller,NI
774,8716173,4159855,30048078,1,5,Quite small but expected.,NI
775,1436516,4159855,111390528,1,5,Good product.,NI
776,4110797,4159855,34463963,0,0,@ queen43 ok ok ok tq,NI
782,8674821,4159855,34049834,0,0,Overseas camera x?,SMI
786,15872289,4159855,41646588,0,3,Sometimes it's not light...,PQ
787,3422782,4159855,37519488,0,0,@adrianna_hafif ade video record x.,NI
788,10769192,4159855,36263651,0,3,Delivery time as expected,NI
792,6558298,4159855,46536370,1,5,Good service...fast delivery,NI
793,4161139,4159855,30050199,0,0,"@adria768 sorry,currently no for iphone 6S",NI
799,8161076,4159855,38333373,0,0,Include camera?,SMI
804,1339029,4159855,33770400,1,5,Superb..,NI
817,6389478,4159855,33770418,0,0,@zulkhairizulkapeli does it effective?,SMI
818,7946143,4159855,38056931,0,0,can put heavy things?,SMI
825,12203118,4159855,38056931,0,0,Nak ... blh fume sy 0169372818,NI
827,5156225,4159855,57272098,0,0,"if i order today, can you delivery by 28th Sept 2016?",SMI
836,10760092,4159855,55896356,0,0,Can fit smarphone xperia z ultra,SMI
839,4885138,4159855,50234515,0,0,@maslinamejan way 2star any problem ya this product?,NI
853,3779290,4159855,34049922,1,5,Excellent service by seller,NI
869,10451461,4159855,60806482,0,0,offered mi gna charger battery,NI
871,10367669,4159855,46156099,0,3,Faded colors already,PQ
872,13716483,4159855,46064514,0,0,What is the exact size of the bag? Will there be any measurement difference on the real product?,SMI
878,5031663,4159855,36014644,0,0,@frankitlim how is the performance of this item? good quality? night vision clear?,SMI
882,7215801,4159855,37799209,1,4,Quite good....,NI
884,10421955,4159855,33132085,0,0,@ zuriani66 wireles die tak elok ke? Sy new je remember to buy.,SMI
885,5290088,4159855,30995952,0,0,dont buy he give the item not complete n broken,PQ
888,9299143,4159855,50237362,0,0,Pm sis,NI
892,2955892,4159855,33770546,0,0,Can play video?,SMI
905,6460654,4159855,29731514,0,0,@cynthialee8550 why,NI
906,7842486,4159855,63008835,0,0,Still have stock?,SMI
908,5080630,4159855,38056931,0,3,some part of the not sewing up. overall ok.,PQ
910,7094125,4159855,33475431,0,0,How much does a post cost,SMI
915,11268907,4159855,44913755,0,0,The white stock is still no oder ni.kalau ade again ...,SMI
922,9872922,4159855,30046605,0,0,how do use ?,SMI
923,15092475,4159855,232320257,-1,1,seller mentally crazy.Selling item without stock. Very poor service by seller,SSC
927,2900977,4159855,30261380,0,0,Can use for all phones??,SMI
936,11321347,4159855,29733726,1,5,Received item in good  condition,NI
951,7194707,4159855,33770431,0,0,Can you hear the radio once?,SMI
961,3682114,4159855,63007855,1,5,Excellent service by seller,NI
962,4828584,4159855,34049834,0,0,this camera can use as card ?,SMI
964,7656205,4159855,33437141,0,0,For detail explain how to buy this item,SMI
965,5290088,4159855,37519688,0,0,a very bad seller,SSC
966,9985846,4159855,31291550,0,0,1 set of?,SMI
970,5163372,4159855,34463963,1,5,Good material. ,NI
972,5743814,4159855,30261380,0,0,Telling late spring,NI
980,8907431,4159855,46057057,1,5,"Love it, thanks!",NI
981,10493527,4159855,43449796,0,0,If i take 10pcs reel..can get sale price or not..n how much cost post,SMI
986,8616443,4159855,29731514,0,0,Is it still available?,SMI
988,7063057,4159855,44234068,1,4,The item receive but late i think its preorder. The saller said to me it ready stock.,SMI
989,13401189,4159855,63008833,0,0,Of mine,NI
994,16766820,4159855,31291501,0,0,How long is the cable? Confirm it's usb 3.0?,SMI
998,522906,4159855,34049834,0,0,@angle9916 this product ok tak?,SMI
1002,11606495,4159855,33475384,0,3,Earphone not really good,PQ
1003,17685027,4159855,30026676,-1,1,Delivery time below expectation Very poor service by seller,"LLDT,SSC"
1008,6770404,4159855,47513068,0,0,still available?,SMI
1012,4054170,4159855,44884047,1,5,This is my 2nd time bought this baby brush.. Fully recommended,NI
1018,2664942,4159855,30229750,1,4,Nice to use..but the bottom too thin,PIM
1023,4542464,4159855,30043908,0,0,Hai still available?,SMI
1029,5306236,4159855,30063598,0,0,have grey color？,NI
1030,24296242,4159855,90400554,1,5,Best do alarm ni haha,NI
1033,13275965,4159855,63008907,0,0,Is there a rear camera once?,SMI
1034,7805997,4159855,46057057,0,0,Anything else?,NI
1035,34009354,4159855,30063759,0,2,Delivery time below expectation,LLDT
1049,7370782,4159855,46536509,0,0,Is this product available,SMI
1051,7679992,4159855,114409102,-1,1,I still didnt get my order yet,LLDT
1052,8585971,4159855,47517705,1,4,Good... ,NI
1069,2469129,4159855,29731514,1,5,Its a excellent service,NI
1070,5638023,4159855,36014590,0,3,not really good quality,PQ
1075,4472568,4159855,30023992,1,5,The shipping is faster than estimated which is great. The product work and look good as well.,NI
1080,3777016,4159855,33437189,0,0,Hi why u didn't reply me? Still got stock or not?,SMI
1084,35927374,4159855,60804233,0,2,Poor product quality,PQ
1087,8084777,4159855,33475348,1,5,Good customer service :),NI
1089,7917317,4159855,30982888,0,0,I want to buy,SMI
1096,8677050,4159855,33770546,0,0,How long is the warranty?,SMI
1097,13544773,4159855,30065594,0,0,Cover sit mcm tu no sale to?,SMI
1113,10452578,4159855,33436837,0,2,Forgot to pox this for me,PIM
1117,3326146,4159855,37519562,0,0,@socoil23 is it come with camera ?,SMI
1126,5787966,4159855,46160902,1,4,nice..,NI
1132,10126798,4159855,33770546,0,0,pm,NI
1134,7277685,4159855,30043908,0,0,Does it have to be iphone5?,SMI
1142,5633352,4159855,30259472,0,0,is this an OEM of lifestraw? and certified to be safe to filter out bacteria?,SMI
1145,5921783,4159855,30014934,0,0,is there a white color ka boss?,SMI
1146,3194449,4159855,33132076,1,5,This item is gud.i just ordered yesterday and started using it d next day. Easy air flow thru it. Recommended for bikers.,NI
1151,8720759,4159855,46536509,0,0,Available?,SMI
1158,11249179,4159855,96565956,0,0,Still available????,SMI
1159,9533675,4159855,34049914,1,5,Good!!,NI
1163,8037687,4159855,46160902,0,0,Are there any more blue color stocks?,SMI
1164,12311602,4159855,111390552,0,0,Ready stock for ipad 2 ?,SMI
1166,10760092,4159855,55896356,0,0,Ygyf,NI
1169,8609333,4159855,50237047,0,0,ni design inspired dior ke?,SMI
1178,7124201,4159855,30256502,0,0,Ade stock no ??,SMI
1184,3534098,4159855,30064400,0,0,How can I buy,SMI
1187,9747296,4159855,33132066,0,0,How will take for delivery????,SMI
1188,10637403,4159855,46156108,1,4,Buy black purse for my mom and she like it..tq,NI
1201,12928245,4159855,42146980,1,4,Good Quality,NI
1209,18472994,4159855,42629140,-1,1,"My order was missing and I never receive the product even it showed""delivered"". Seller is not responsible type.  Do not purchase item from this seller.  They are cheated.   Very poor service by seller Very poor service by seller",SSC
1212,9759670,4159855,125669580,1,5,This is a real joke. I havent received the things i paid for and it says my purchase is completed. Come on. Im definitely gonna rate 5 stars for this joke. Great job there seller! What a great job to say my purchase completed when i havent received anything. Good!,LLDT
1218,9199500,4159855,55889982,0,0,There is no zip over a wild bag,PIM
1221,20403482,4159855,46057057,1,4,Item received in good condition.,NI
1222,5953312,4159855,46156099,0,0,sy nk beli .... wasap sy pls 0173550738,NI
1224,6426399,4159855,46537709,-1,1,"Receive a defective bag even though I have requested to check and send me a good one, bad service provided, not willing to allow return and resend new one, refund made, but I still suffer from losses! Totally dissatisfied and disappointed with the purchase!",RPI
1228,14831564,4159855,36657631,-1,1,Stated as 'Quick Release' prop guard but it is a 'screw on' material. Cant be put in the carrying drone bag without the prop guard be unscrewed 1st. Troublesome and felt cheated. Should be a none star rating Very poor product quality,PQ
1230,7712942,4159855,55893789,0,0,@deeflo is it nice?,SMI
1236,8657101,4159855,46060621,-1,1,Seller yg xbtggjwb!!!,NI
1239,686140,4159855,37799194,0,0,Monitor included,NI
1247,5834571,4159855,30050199,0,0,My ip is 6s,NI
1249,6068228,4159855,63007855,1,5,Same like the photo ..i really love it,NI
1255,5290088,4159855,30261380,0,0,dont buy so band,PQ
1256,8030213,4159855,46160902,0,0,Long time no matter what,NI
1257,6862728,4159855,32149791,1,5,Product is good.. only issue is that it came without the battery..,NI
1261,5447826,4159855,46161964,0,0,send Kat fb sy can ... sham.mala70@yahoo.com,NI
1262,9672888,4159855,33475415,-1,1,No cable charger,PIM
1273,4044640,4159855,30982901,1,5,Item arrived as per description. Tq,NI
1276,13525934,4159855,43352009,0,0,Rm8.90 for each or 1 set? Could you plz reply my comment,SMI
1280,6448801,4159855,44881223,0,0,sabah is also part of malaysia..,NI
1286,5807642,4159855,30974427,0,0,How to use... the music auto connect to speaker?,SMI
1291,11637811,4159855,30017622,0,0,Promo code mna ??,SMI
1295,19619556,4159855,125669607,0,0,If I want to buy this probably how long will the arrival of the goods?,SMI
1305,11260268,4159855,30047865,1,5,Excellent service by seller Excellent service by seller Excellent service by seller,NI
1306,4056147,4159855,34463963,0,0,helo mis .... bole flabber,NI
1319,998663,4159855,44882429,0,3,Doesn't fit in ear so well,PIM
1326,15291517,4159855,36263666,0,0,live view...???,NI
1328,2920156,4159855,33436912,1,4,Received in good condition,NI
1329,8585971,4159855,49683159,1,5,Thank you,NI
1334,1242119,4159855,49690009,0,0,Got warranty?,SMI
1337,7237237,4159855,49198725,0,0,Preorder or ready stock ? Free SD card ?,SMI
1345,8212184,4159855,33113962,1,5,Although seller send wrong item but seller willing to refund ..  Recommended seller ,RPI
1348,8517501,4159855,34463975,-1,1,Bad service,SSC
1350,6605010,4159855,30063759,0,0,Is it the mouse comes with silent mode ?,SMI
1352,4161139,4159855,77993414,0,0,@tinieramlee yes dear it have stock,NI
1355,8384945,4159855,33437029,0,0,"not the same as what I ordered,",PIM
1367,6347102,4159855,44881041,0,0,I need it in hurry... How many days it needs to reach me?,SMI
1368,4141575,4159855,30045567,0,0,"Hi I would like to ask how many days would it take to arrive approximately? I know it says 3days but just wanna make sure :) also, will the fairy light be exactly like the ones shown in picture? Thank you:)",SMI
1369,1303211,4159855,30016052,0,0,Length in meters?,SMI
1380,8124203,4159855,46536370,1,4,Item is in good condition. But take too long. Longest among all item i ordered on the same day. Tracking not update too.,NI
1392,8044595,4159855,33132085,0,0,"By phone, can you speak?",SMI
1397,1792443,4159855,30064571,0,3,"Actually i still havent received the goods. Its still pending at shah alam pos laju office. I called many times for 2 days also no body pick up and i m busy this weekend. So, hopefully next week i will go personally to collect this less than rm10 goods...experience not really good",LLDT
1407,1244890,4159855,30043225,0,0,@ditamoxcit mcmana sound dia? Good to or pain .. hehe,SMI
1408,27289248,4159855,47116422,0,0,iPhone 8 still available pink color for order,NI
1411,16056562,4159855,92610548,0,0,Inc pos bpe?,SMI
1413,8563492,4159855,34049834,0,0,Mcm ner nk make payment,NI
1415,5918646,4159855,44879655,0,0,@ctnuraintenah 1 je ... khas untuk belja kanan shja..tp smpai mmg lmbat laa amvil msa dlm 10 hingga 12 hari ...,NI
1417,7046321,4159855,30045670,0,0,there is no more stock,NI
1429,6647124,4159855,47519982,0,0,@chiusing slow x items up?,SMI
1430,9772928,4159855,43352009,0,0,"Hello, rm9.80 price is 1 set to or 1 pc only",SMI
1432,2352858,4159855,30974427,0,0,Hye..can some one teach me how to plug it??Its not working when I plug to my car..,SMI
1433,8281969,4159855,46156106,0,0,Brown colour still available?,SMI
1437,8505009,4159855,43352009,1,5,Good quality!!!,NI
1445,7299454,4159855,29727092,1,4,"Received product after a week,found 2 pieces broken at the moment.Will check again.Overall product still good.",NI
1454,7272763,4159855,34049834,1,5,Nice Product.,NI
1456,3860654,4159855,30044051,0,0,Ok jek ..... according to price ...,NI
1458,3036863,4159855,33770546,0,0,Can add on memory?,SMI
1459,5447182,4159855,46063841,-1,1,Cannot connect with Baofeng BF-888s that is sell in Malaysia,PQ
1461,27609355,4159855,33437006,0,0,"Waist for 30 ""prefer size ape ye?",SMI
1470,10422127,4159855,34658427,0,3,The quality corresponds to the price. It smells bad.,PQ
1472,5249557,4159855,30982918,0,0,How to charge it?,SMI
1477,6496090,4159855,34049834,0,0,just dont buy it,NI
1498,7427783,4159855,30969138,0,0,@zamzam2015 its good quality?,SMI
1507,6348407,4159855,33475438,1,5,fast shipping n beg is big with alot of space....,NI
1514,2116405,4159855,29731514,0,0,Available?,SMI
1531,8605841,4159855,38056931,0,0,stok still available x,SMI
1536,4038246,4159855,33770420,0,0,Can it play with music?  Listening music?,SMI
1540,10637403,4159855,50255624,0,3,Size a bit smaller than the picture showed but nvm i still like it,PIM
1545,1607710,4159855,90400502,-1,1,Very poor product quality,PQ
1551,7252857,4159855,29728224,0,0,"@rubyteh jus now i click on payment, it also shows delivery charge. U pay for it that time?",SMI
1552,8715070,4159855,37519688,0,0,how much boss ?,SMI
1556,12929250,4159855,58723194,0,3,Product quality is ok,NI
1561,6369646,4159855,30974427,0,0,It's still available?,SMI
1564,8240574,4159855,33770429,0,0,Shipping rm49..??,SMI
1575,7790980,4159855,33436880,-1,1,"Requested for 3mm LED mix color, but seller sent super bright white color 5mm LED. I don't need white color LED since I have alot.",PIM
1577,10062319,4159855,67426492,1,5,Excellent service by seller,NI
1581,6580643,4159855,29733739,-1,1,U say over rm20 free shipping?  ,SMI
1583,9818747,4159855,232320257,1,5,Excellent service by seller,NI
1591,10888379,4159855,46062847,0,0,Do you have other color than blue? Perhaps green and yellow? I would like to purchase 3 different color,SMI
